,lat,lon,x_ew,y_ns,z_depth,slip,rake,trup,trise,sf_moment
77,-3.7452,100.389,29.823,-34.0786,17.0142,0.1974,100.3299,26.2,1.9,1.44e+18
78,-3.6346,100.3115,21.227,-21.7788,17.0142,0.3568,74.543,14.8,1.9,2.61e+18
79,-3.524,100.2339,12.6178,-9.4798,17.0142,0.9339,94.3758,6.0,7.6,6.84e+18
80,-3.4134,100.1563,4.0065,2.8185,17.0142,1.0078,105.917,3.2,9.5,7.38e+18
81,-3.3029,100.0788,-4.5902,15.105,17.0142,0.5738,131.4456,7.8,7.6,4.2e+18
82,-3.1923,100.0012,-13.2055,27.4019,17.0142,0.6631,119.293,17.6,5.7,4.85e+18
83,-3.0817,99.9236,-21.8226,39.6981,17.0142,0.6235,80.7345,27.0,3.8,4.56e+18
84,-2.9711,99.8461,-30.4305,51.9937,17.0142,0.639,87.2879,36.2,1.9,4.68e+18
85,-2.8606,99.7685,-39.0513,64.2776,17.0142,0.3296,71.786,47.6,1.9,2.41e+18
86,-2.75,99.6909,-47.6737,76.572,17.0142,0.1489,122.5564,62.2,7.6,1.09e+18
87,-2.6394,99.6134,-56.2866,88.8658,17.0142,0.0274,74.8156,77.2,1.9,2e+17
88,-2.5288,99.5358,-64.9122,101.159,17.0142,0.3801,73.3439,90.8,3.8,2.78e+18
89,-2.4183,99.4582,-73.5394,113.4406,17.0142,0.0941,72.4281,101.8,5.7,6.89e+17
90,-3.9158,100.6165,55.0534,-53.0584,19.0284,0.0778,90.0926,55.6,3.8,5.69e+17
91,-3.8052,100.5389,46.4513,-40.7563,19.0284,0.3595,75.0783,46.4,3.8,2.63e+18
92,-3.6946,100.4614,37.8579,-28.455,19.0284,0.3897,83.2424,35.0,1.9,2.85e+18
93,-3.584,100.3838,29.2513,-16.1546,19.0284,0.3964,130.8144,25.2,5.7,2.9e+18
94,-3.4735,100.3062,20.6425,-3.866,19.0284,0.7197,120.2501,13.0,1.9,5.27e+18
95,-3.3629,100.2287,12.0483,8.433,19.0284,1.1841,99.169,9.4,3.8,8.67e+18
96,-3.2523,100.1511,3.4355,20.7312,19.0284,0.5315,127.4988,11.6,9.5,3.89e+18
97,-3.1417,100.0735,-5.1794,33.0288,19.0284,0.9213,131.2851,19.6,1.9,6.74e+18
98,-3.0312,99.996,-13.7849,45.3145,19.0284,0.9418,115.3455,30.0,9.5,6.89e+18
99,-2.9206,99.9184,-22.4035,57.6108,19.0284,0.9612,84.2632,38.4,7.6,7.04e+18
100,-2.81,99.8408,-31.0237,69.9063,19.0284,0.5734,90.5891,51.6,5.7,4.2e+18
101,-2.6994,99.7633,-39.6346,82.2013,19.0284,0.3844,97.7681,64.8,1.9,2.81e+18
102,-2.5888,99.6857,-48.2582,94.4957,19.0284,0.2576,130.9655,81.2,9.5,1.89e+18
103,-2.4783,99.6081,-56.8833,106.7784,19.0284,0.2686,112.7626,95.0,9.5,1.97e+18
104,-2.3677,99.5306,-65.4989,119.0717,19.0284,0.0943,90.5411,105.6,1.9,6.9e+17
105,-3.8652,100.6889,63.0883,-47.4368,21.0426,0.081,123.4801,62.0,7.6,5.93e+17
106,-3.7546,100.6113,54.4866,-35.134,21.0426,0.4531,113.6016,53.8,3.8,3.32e+18
107,-3.6441,100.5337,45.8826,-22.8432,21.0426,0.2227,73.0601,45.0,5.7,1.63e+18
108,-3.5335,100.4562,37.2875,-10.542,21.0426,0.1619,86.4441,31.2,7.6,1.19e+18
109,-3.4229,100.3786,28.6792,1.7584,21.0426,0.2077,117.2359,21.4,9.5,1.52e+18
110,-3.3123,100.301,20.0744,14.058,21.0426,0.477,77.5805,16.2,1.9,3.49e+18
111,-3.2017,100.2234,11.462,26.3569,21.0426,0.3375,131.0821,18.2,1.9,2.47e+18
112,-3.0912,100.1459,2.8587,38.644,21.0426,0.8832,130.6624,27.0,1.9,6.46e+18
113,-2.9806,100.0683,-5.7576,50.9415,21.0426,0.9757,117.8663,36.0,5.7,7.14e+18
114,-2.87,99.9907,-14.3756,63.2383,21.0426,0.8926,74.483,42.8,1.9,6.53e+18
115,-2.7594,99.9132,-22.9843,75.5345,21.0426,0.5312,95.4274,55.4,9.5,3.89e+18
116,-2.6489,99.8356,-31.6059,87.819,21.0426,0.2428,129.9243,70.4,3.8,1.78e+18
117,-2.5383,99.758,-40.229,100.1139,21.0426,0.4376,106.988,85.6,5.7,3.2e+18
118,-2.4277,99.6805,-48.8426,112.4084,21.0426,0.6076,84.8286,99.0,7.6,4.45e+18
119,-2.3171,99.6029,-57.4688,124.7022,21.0426,0.1,124.9105,109.0,3.8,7.32e+17
